Marth,14670,36137,0.405955115255832
Sheik,9827,24135,0.40716801325875285
Lucina,50115,120796,0.41487300904003444
Corrin,16705,38678,0.4318992709033559
Joker,86929,199760,0.4351672006407689
Byleth,26542,60917,0.43570760214718385
Mewtwo,16162,37069,0.4359977339555963
Falco,32899,75082,0.43817426280599875
Dark Pit,17943,40644,0.44146737525834073
Jigglypuff,45730,102581,0.445794055429368
Roy,40736,91292,0.4462165359505762
Fox,29239,64784,0.4513305754507286
Sephiroth,24316,53409,0.4552790728154431
Kirby,33498,72868,0.45970796508755557
Pit,11635,25309,0.45971788691769727
Lucario,15381,33288,0.4620583994232156
Mii Brawler,15134,32655,0.46345123258306536
Rosalina,10966,23502,0.46659858735426774
Chrom,28021,59764,0.4688608526872365
Captain Falcon,58196,122676,0.47438781831817145
Pikachu,53489,112630,0.4749089940513185
Wolf,88025,184574,0.47690899043202184
Pyra & Mythra,33157,69317,0.47833864708513063
Mario,65725,137351,0.4785185400907165
Young Link,44257,92303,0.47947520665633836
Piranha Plant,32133,66243,0.4850776685838504
Lucas,42832,88224,0.48549147624229233
Daisy,9122,18684,0.48822521943909225
Cloud,90558,185000,0.4895027027027027
Shulk,28804,58690,0.49078207531095586
Link,61184,124414,0.4917774526982494
Wario,26848,54593,0.4917846610371293
Greninja,40966,83113,0.4928952149483234
Pichu,27207,55160,0.49323785351704136
Ridley,29862,60335,0.4949366039612165
King K. Rool,57231,115467,0.4956481072514225
Little Mac,40749,81952,0.4972300859039438
Pokemon Trainer,89881,180459,0.49806881341468145
Kazuya,2268,4551,0.4983520105471325
Meta Knight,15160,30417,0.49840549692606106
Zero Suit Samus,44367,88730,0.5000225402907698
Incineroar,32046,63973,0.5009300798774483
Villager,19216,38264,0.502195274932051
Hero,45983,90995,0.5053354579921974
Ganondorf,50278,99444,0.5055910864406098
Bowser,101307,199984,0.5065755260420833
Peach,25006,49162,0.5086448883283837
Toon Link,34310,67392,0.509110873694207
Mr. Game & Watch,57943,113568,0.5102053395322627
Inkling,84307,165240,0.5102093923989349
Diddy Kong,30465,59544,0.5116384522370012
Olimar,13195,25731,0.5128055652714625
Isabelle,26264,50844,0.5165604594445755
Ice Climbers,16794,32482,0.5170248137429961
Yoshi,81374,156854,0.5187881724406136
Banjo-Kazooie,52173,99974,0.5218656850781203
Ness,107460,205667,0.522495101304536
Mii Swordfighter,18766,35522,0.5282923258825517
Samus,54321,102686,0.5290010322731433
Dr. Mario,25280,47555,0.5315949952686363
Palutena,106743,200669,0.5319356751665678
Donkey Kong,74119,139308,0.532051282051282
Zelda,58328,109505,0.5326514771015022
Duck Hunt,21109,39448,0.5351095112553235
Mega Man,32415,60093,0.5394139084419151
Ike,60103,111348,0.5397761971476811
Sonic,66096,122182,0.540963480709106
Ryu,13544,25015,0.54143513891665
Mii Gunner,19061,35100,0.5430484330484331
Dark Samus,22909,42180,0.5431247036510194
Pac-Man,53992,99133,0.5446420465435324
Terry,65438,120069,0.545003289775046
Bowser Jr.,32804,60138,0.5454787322491602
Robin,35326,63985,0.5520981480034383
King Dedede,65847,119142,0.5526766379614242
Luigi,68797,123756,0.5559084004007886
Wii Fit Trainer,48657,87219,0.5578715646820074
Bayonetta,40669,72261,0.5628070466780144
Simon Belmont,10810,19081,0.5665321524029139
R.O.B.,97509,171135,0.569778245244982
Ken,36898,64019,0.5763601430825224
Snake,102794,177361,0.5795749911198065
Richter,27843,47886,0.5814434281418369
Min Min,41725,71583,0.5828897922691142
Steve,44965,76773,0.5856876766571582
Random Character,30184,44113,0.6842427402353047
